Set,Trip,Year,lat,lon,,,,,,,,,
11,218,2021,46290,54409,,,,,,,,,
12,218,2021,46214,54304,,,,,,,,,
14,218,2021,46252,55045,,,,,,,,,
20,218,2021,46374,55346,,,,,,,,,
22,218,2021,46462,55489,,,,,,,,,
23,218,2021,46389,56050,,,,,,,,,
24,218,2021,46434,56044,,,,,,,,,
25,218,2021,47070,55497,,,,,,,,,
28,218,2021,47226,55271,,,,,,,,,
33,218,2021,47089,56107,,,,,,,,,
34,218,2021,47097,56141,,,,,,,,,
54,218,2021,47020,57561,,,,,,,,,
71,218,2021,46112,57031,,,,,,,,,
12,219,2021,46106,55509,,,,,,,,,
16,219,2021,46347,56253,,,,,,,,,
42,219,2021,45084,56068,,,,,,,,,
43,219,2021,45141,56109,,,,,,,,,
56,219,2021,45094,55208,,,,,,,,,
83,219,2021,46283,56238,,,,,,,,,
17,21,2022,46140,57109,,,,,,,,,
19,21,2022,45401,57128,,,,,,,,,
22,21,2022,45461,56348,,,,,,,,,
25,21,2022,45237,56142,,,,,,,,,
5,22,2022,47074,55580,,,,,,,,,
6,22,2022,47119,55480,,,,,,,,,
9,22,2022,47114,55557,,,,,,,,,
11,22,2022,47240,56125,,,,,,,,,
13,22,2022,47257,56487,,,,,,,,,
29,22,2022,47025,57324,,,,,,,,,
30,22,2022,47043,57558,,,,,,,,,
32,22,2022,47019,57559,,,,,,,,,
37,23,2022,45129,56057,,,,,,,,,
46,23,2022,45224,54456,,,,,,,,,
52,23,2022,45110,55358,,,,,,,,,
3,24,2022,46300,55220,,,,,,,,,
9,24,2022,46083,54436,,,,,,,,,
13,24,2022,45580,55151,,,,,,,,,
14,24,2022,45416,55069,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
