DB code,LATDEC,LONDEC
GM2J15L048,53.08333333,-52.295
GM2J15M101,52.67075,-53.41673333
GM2J15S045,53.08333333,-52.295
GM2J15S047,52.67075,-53.41673333
GM2J15S052,53.85738333,-52.94631667
GM2J15S063,53.16586667,-52.34606667
GM2J15S064,52.5946,-53.63246667
GM2J17_1890,53.785,-53.295
GM2J17_1896,53.785,-53.295
GM2J17_1898,53.785,-53.295
GM2J17_1903,53.785,-53.295
GM2J17_1904,53.785,-53.295
GM2J17_1905,53.785,-53.295
GM2J17_1907,53.785,-53.295
GM2J17_1908,53.785,-53.295
GM2J17_1909,53.785,-53.295
GM2J17_1910,53.785,-53.295
GM2J17_1911,53.785,-53.295
GM2J17_1912,53.785,-53.295
GM2J17_1919,53.785,-53.295
GM2J17_1920,53.785,-53.295
GM2J17_1922,53.785,-53.295
GM2J17_1924,53.785,-53.295
GM2J17_1925,53.785,-53.295
GM2J15M027,52.67075,-53.41673333
GM2J15M109,53.16586667,-52.34606667
GM2J15S057,53.16821667,-52.2936
GM2J15S058,52.5018,-52.30695
GM2J15S061,52.5018,-52.30695
GM2J15S062,52.5946,-53.63246667
GM2J17_1906,53.785,-53.295
GM3K15L193,50.25,-51.67
GM3K15M147,50.17,-50.76
GM3K15M153,50.42,-51.40
GM3K15M189,50.42,-51.40
GM3K15M190,50.25,-51.67
GM3K15S176,50.42,-51.40
GM3L17_2025,49.125,-50.691
GM3L17_2026,49.125,-50.691
GM3L17_2027,49.125,-50.691
GM3L17_2028,49.125,-50.691
GM3L17_2031,49.125,-50.691
GM3L17_2032,49.125,-50.691
GM3L17_2040,49.125,-50.691
GM3L17_2043,49.125,-50.691
GM3L17_2044,49.125,-50.691
GM3L17_2051,49.125,-50.691
GM3L17_2058,49.125,-50.691
GM3L17_2059,49.125,-50.691
GM3L17_2062,49.125,-50.691
GM3L17_2063,49.125,-50.691
GM3L17_2064,49.125,-50.691
GM3K13J274,49.963,-51.161
GM3L17_2024,49.125,-50.691
GM3L17_2035,49.125,-50.691
GM3L17_2037,49.125,-50.691
GM3L17_2038,49.125,-50.691
