""	"c..1_21_19....1_218_11....1_218_12....1_218_14....1_218_20..."
"1"	"1_21_19"
"2"	"1_218_11"
"3"	"1_218_12"
"4"	"1_218_14"
"5"	"1_218_20"
"6"	"1_219_42"
"7"	"1_22_13"
"8"	"1_22_29"
"9"	"1_22_32"
"10"	"1_22_5"
"11"	"1_24_3"
"12"	"10_22_30"
"13"	"13_219_83"
"14"	"155_218_34"
"15"	"16_219_16"
"16"	"16_23_46"
"17"	"16_24_3"
"18"	"17_219_12"
"19"	"2_21_17"
"20"	"2_21_22"
"21"	"2_218_11"
"22"	"2_218_71"
"23"	"2_219_12"
"24"	"2_219_16"
"25"	"2_22_6"
"26"	"2_24_13"
"27"	"2_24_9"
"28"	"20_218_54"
"29"	"22_218_33"
"30"	"25_218_28"
"31"	"29_23_52"
"32"	"3_21_25"
"33"	"3_218_24"
"34"	"3_22_9"
"35"	"3_23_37"
"36"	"3_24_14"
"37"	"32_218_25"
"38"	"4_22_11"
"39"	"4_23_46"
"40"	"4_23_52"
"41"	"4_24_13"
"42"	"5_22_11"
"43"	"6_218_23"
"44"	"6_219_83"
"45"	"8_219_43"
"46"	"89_218_22"
"47"	"9_219_56"
"48"	"GM3P13J245"
"49"	"GM3P13J246"
"50"	"GM3P13J299"
"51"	"GM3P13J251"
"52"	"GM3P13J307"
"53"	"GM2J15S018"
"54"	"GM2J15M017"
"55"	"GM2J15J038"
"56"	"GM2J15J036"
"57"	"GM2J15S031"
"58"	"GM2J15M025"
"59"	"GM2J15M032"
"60"	"GM2J15S096"
"61"	"GM2J17_1890"
"62"	"GM2J17_1896"
"63"	"GM2J17_1898"
"64"	"GM2J17_1903"
"65"	"GM2J17_1904"
"66"	"GM2J17_1905"
"67"	"GM2J17_1906"
"68"	"GM2J17_1907"
"69"	"GM2J17_1908"
"70"	"GM2J17_1909"
"71"	"GM2J17_1910"
"72"	"GM2J17_1911"
"73"	"GM2J17_1912"
"74"	"GM2J17_1919"
"75"	"GM2J17_1920"
"76"	"GM2J17_1922"
"77"	"GM2J17_1924"
"78"	"GM2J17_1925"
"79"	"GM2J15L005"
"80"	"GM2J15J022"
"81"	"GM2J15S094"
"82"	"GM3K15L186"
"83"	"GM3K15S179"
"84"	"GM3K15L177"
"85"	"GM3K13J221"
"86"	"GM3K15J162"
"87"	"GM3K17_1941"
"88"	"GM3K17_1942"
"89"	"GM3K17_1944"
"90"	"GM3K17_1945"
"91"	"GM3K17_1946"
"92"	"GM3K17_1948"
"93"	"GM3K17_1949"
"94"	"GM3K17_1950"
"95"	"GM3K17_1953"
"96"	"GM3K17_1954"
"97"	"GM3K17_1976"
"98"	"GM3K17_1977"
"99"	"GM3K17_1980"
"100"	"GM3K17_1982"
"101"	"GM3K17_1984"
"102"	"GM3K17_1990"
"103"	"GM3K17_1991"
"104"	"GM3K17_1997"
"105"	"GM3K17_2004"
"106"	"GM3K17_2018"
"107"	"GM3K17_2019"
"108"	"GM3K17_2020"
"109"	"GM3K17_2021"
"110"	"GM3L17_2024"
"111"	"GM3L17_2025"
"112"	"GM3L17_2026"
"113"	"GM3L17_2027"
"114"	"GM3L17_2028"
"115"	"GM3L17_2031"
"116"	"GM3L17_2032"
"117"	"GM3L17_2035"
"118"	"GM3L17_2037"
"119"	"GM3L17_2038"
"120"	"GM3L17_2039"
"121"	"GM3L17_2040"
"122"	"GM3L17_2043"
"123"	"GM3L17_2044"
"124"	"GM3L17_2049"
"125"	"GM3L17_2050"
"126"	"GM3L17_2051"
"127"	"GM3L17_2054"
