""	"x"
"1"	296
"2"	297
"3"	947
"4"	948
"5"	1126
"6"	1854
"7"	1855
"8"	1856
"9"	1857
"10"	1864
"11"	1867
"12"	2009
"13"	2875
"14"	4283
"15"	4304
"16"	4305
"17"	5110
"18"	5111
"19"	5491
"20"	6334
"21"	6899
"22"	6901
"23"	6928
"24"	7916
"25"	8055
"26"	8245
"27"	8327
"28"	8386
"29"	8507
"30"	8653
"31"	9212
"32"	9646
"33"	9718
"34"	10694
"35"	10915
"36"	11096
"37"	11883
"38"	12822
"39"	12833
"40"	13677
"41"	13686
"42"	14206
"43"	14574
"44"	15115
"45"	15639
"46"	16377
"47"	16616
"48"	17029
"49"	17741
"50"	17839
"51"	18169
"52"	18214
"53"	18215
"54"	18442
"55"	18462
"56"	18508
"57"	18619
"58"	18903
"59"	20205
"60"	20405
"61"	20874
"62"	20962
"63"	20965
"64"	20967
"65"	21653
"66"	21898
"67"	24114
"68"	24406
"69"	25139
"70"	25376
"71"	25699
"72"	25829
"73"	26186
"74"	26350
"75"	26737
"76"	27130
"77"	27132
"78"	27314
"79"	28089
"80"	28090
"81"	28129
"82"	28588
"83"	29029
"84"	29398
"85"	29399
"86"	29400
"87"	29401
"88"	29402
"89"	29403
"90"	29406
"91"	31181
"92"	31619
"93"	32091
"94"	32261
"95"	32407
"96"	32888
"97"	33026
"98"	33027
"99"	34133
"100"	34340
"101"	34588
"102"	35388
"103"	35571
"104"	35573
"105"	35688
"106"	35717
"107"	35732
"108"	35738
"109"	37050
"110"	37421
"111"	37928
