""	"x"
"1"	1126
"2"	1131
"3"	1699
"4"	1855
"5"	1856
"6"	1857
"7"	1864
"8"	1867
"9"	3221
"10"	3496
"11"	4304
"12"	4305
"13"	5110
"14"	5111
"15"	6958
"16"	8327
"17"	8386
"18"	10339
"19"	11096
"20"	12597
"21"	14574
"22"	15115
"23"	16616
"24"	18508
"25"	18619
"26"	18903
"27"	19122
"28"	19123
"29"	19306
"30"	20646
"31"	20647
"32"	20874
"33"	20959
"34"	20961
"35"	20962
"36"	21898
"37"	25699
"38"	25829
"39"	26186
"40"	26737
"41"	28089
"42"	28090
"43"	28903
"44"	29029
"45"	29075
"46"	29402
"47"	29403
"48"	29406
"49"	30345
"50"	31181
"51"	32261
"52"	32407
"53"	32888
"54"	33026
"55"	33027
"56"	34133
"57"	34340
"58"	34654
"59"	35388
"60"	35571
"61"	35573
"62"	35844
"63"	36217
"64"	37421
"65"	37927
"66"	37928
"67"	37934
